champion_1,champion_2,games,winrate
Nautilus,Seraphine,12,0.5
Neeko,Xayah,12,0.5833
Rakan,Tristana,12,0.5
Seraphine,Yunara,12,0.0833
Sivir,Yuumi,12,0.4167
Alistar,Jinx,11,0.6364
Ashe,Bard,11,0.6364
Ashe,Rakan,11,0.4545
Caitlyn,Milio,11,0.4545
Jinx,Karma,11,0.5455
Kalista,Nautilus,11,0.5455
Kalista,Neeko,11,0.6364
Lucian,Nautilus,11,0.4545
Poppy,Yunara,11,0.6364
Seraphine,Varus,11,0.5455
Ashe,Leona,10,0.5
Corki,Poppy,10,0.6
Jhin,Poppy,10,0.3
Rell,Smolder,10,0.4
Shen,Ziggs,10,0.4
Soraka,Yunara,10,0.6
Alistar,Smolder,9,0.4444
Aphelios,Leona,9,0.4444
Blitzcrank,Kai'Sa,9,0.6667
Blitzcrank,Yunara,9,0.6667
Leona,Lucian,9,0.6667
Leona,Mel,9,0.6667
Leona,Tristana,9,0.3333
Nami,Smolder,9,0.2222
Pyke,Varus,9,0.4444
Rakan,Zeri,9,0.5556
Rakan,Ziggs,9,0.6667
Alistar,Lucian,8,0.625
Aphelios,Bard,8,0.375
Aphelios,Karma,8,0.25
Ashe,Rell,8,0.5
Bard,Lucian,8,0.625
Bard,Ziggs,8,0.5
Corki,Pyke,8,0.625
Elise,Ezreal,8,0.625
Ezreal,Shen,8,0.375
Karma,Miss Fortune,8,0.5
Karma,Xayah,8,0.375
Leona,Senna,8,0.625
Lucian,Sona,8,0.375
Nami,Sivir,8,0.375
Nami,Varus,8,0.5
Nautilus,Zeri,8,0.625
Rakan,Smolder,8,0.375
Senna,Tahm Kench,8,0.625
Alistar,Ashe,7,0.7143
Alistar,Seraphine,7,0.8571
Alistar,Zeri,7,0.7143
Aphelios,Poppy,7,0.5714
Bard,Zeri,7,0.7143
Blitzcrank,Jhin,7,0.2857
Braum,Miss Fortune,7,0.4286
Draven,Nautilus,7,0.7143
Ezreal,Yuumi,7,0.2857
Jinx,Leona,7,0.4286
Kai'Sa,Karma,7,0.2857
Leona,Smolder,7,0.1429
Leona,Xayah,7,0.5714
Mel,Shen,7,0.4286
Miss Fortune,Poppy,7,0.4286
Rell,Senna,7,0.2857
Rell,Zeri,7,0.7143
Ashe,Poppy,6,0.8333
Blitzcrank,Corki,6,0.5
Blitzcrank,Ezreal,6,0.1667
Braum,Tristana,6,0.3333
Braum,Xayah,6,0.6667
Karma,Vayne,6,0.3333
Karma,Zeri,6,0.3333
Lucian,Rell,6,0.3333
Poppy,Xayah,6,0.5
Rell,Samira,6,0.6667
Anivia,Sivir,5,0.8
Ashe,Pyke,5,0.8
Blitzcrank,Miss Fortune,5,1.0
Braum,Jhin,5,0.2
Braum,Smolder,5,0.6
Caitlyn,Lulu,5,1.0
Caitlyn,Pyke,5,0.8
Camille,Kai'Sa,5,0.4
Camille,Syndra,5,0.8
Jinx,Neeko,5,0.4
Kai'Sa,Shen,5,0.8
Kalista,Leona,5,0.6
Neeko,Smolder,5,0.2
Poppy,Ziggs,5,0.2
Renata Glasc,Yunara,5,0.2
Seraphine,Smolder,5,0.6
Thresh,Varus,5,0.4
Aphelios,Tahm Kench,4,0.5
Ashe,Camille,4,0.75
Bard,Jinx,4,0.5
Braum,Kog'Maw,4,0.25
Braum,Zeri,4,0.25
Caitlyn,Morgana,4,1.0
Cassiopeia,Nautilus,4,0.5
Draven,Milio,4,0.0
Draven,Pyke,4,0.5
Draven,Rell,4,0.75
Elise,Jhin,4,0.0
Ezreal,Skarner,4,0.25
Jinx,Milio,4,0.0
Jinx,Rakan,4,0.5
Kai'Sa,Lulu,4,0.5
Karma,Kog'Maw,4,0.75
Karma,Lucian,4,1.0
Leona,Seraphine,4,1.0
Lulu,Twitch,4,0.5
Mel,Nami,4,0.25
Mel,Pantheon,4,0.25
Neeko,Tristana,4,0.5
Neeko,Yasuo,4,0.25
Pantheon,Ziggs,4,0.0
Renata Glasc,Xayah,4,0.25
Shen,Sivir,4,0.25
Shen,Syndra,4,0.5
Soraka,Varus,4,0.25
Varus,Zyra,4,0.25
Alistar,Draven,3,0.3333
Alistar,Vayne,3,0.6667
Anivia,Ashe,3,0.6667
Anivia,Corki,3,0.3333
Anivia,Yunara,3,0.3333
Aphelios,Blitzcrank,3,0.6667
Aphelios,Renata Glasc,3,0.3333
Aphelios,Seraphine,3,0.3333
Bard,Mel,3,0.0
Bard,Senna,3,0.6667
Bard,Vayne,3,0.6667
Blitzcrank,Kalista,3,0.6667
Blitzcrank,Lucian,3,1.0
Blitzcrank,Varus,3,0.6667
Blitzcrank,Ziggs,3,0.3333
Brand,Nami,3,0.3333
Braum,Seraphine,3,0.6667
Caitlyn,Camille,3,0.6667
Caitlyn,Rakan,3,0.3333
Caitlyn,Tahm Kench,3,0.0
Caitlyn,Thresh,3,0.6667
Camille,Sivir,3,0.3333
Camille,Varus,3,0.3333
Cassiopeia,Rell,3,0.3333
Corki,Taric,3,0.3333
Draven,Nami,3,0.3333
Ezreal,Lulu,3,1.0
Ezreal,Soraka,3,0.3333
Galio,Sivir,3,0.0
Galio,Varus,3,0.3333
Hwei,Rell,3,0.3333
Jhin,Maokai,3,0.3333
Jhin,Nami,3,0.0
Jhin,Shen,3,0.3333
Jhin,Skarner,3,0.6667
Jinx,Rell,3,0.6667
Kai'Sa,Thresh,3,0.3333
Kalista,Rakan,3,0.6667
Leona,Zeri,3,0.0
Lucian,Neeko,3,0.0
Lulu,Vayne,3,0.3333
Mel,Rakan,3,0.0
Mel,Skarner,3,0.6667
Milio,Sivir,3,0.3333
Nami,Xayah,3,0.6667
Nautilus,Syndra,3,1.0
Nautilus,Vayne,3,0.6667
Neeko,Zeri,3,0.0
Pantheon,Sivir,3,0.3333
Poppy,Senna,3,1.0
Pyke,Seraphine,3,0.3333
Rakan,Vayne,3,0.6667
Rell,Seraphine,3,0.6667
Rell,Syndra,3,0.6667
Senna,Shen,3,0.6667
Senna,Sion,3,0.6667
Shen,Taliyah,3,0.6667
Shen,Varus,3,0.3333
Sivir,Zilean,3,0.0
Smolder,Soraka,3,1.0
