champion,role,games,winrate_brut,wilson_lower_bound,pick_rate,ban_rate,presence_score,trend
Milio,UTILITY,504,0.525794,0.482169,0.042952,0.017215,0.060167,stable (+0.000)
Nami,UTILITY,844,0.498815,0.465164,0.071928,0.066644,0.138572,stable (+0.000)
Anivia,UTILITY,90,0.566667,0.463639,0.007670,0.107210,0.114880,stable (+0.000)
Camille,UTILITY,126,0.547619,0.460585,0.010738,0.031021,0.041759,hausse (+0.021)
Lux,UTILITY,43,0.604651,0.455788,0.003665,0.009545,0.013209,stable (+0.000)
Nautilus,UTILITY,1243,0.481094,0.453418,0.105931,0.319755,0.425686,hausse (+0.044)
Neeko,UTILITY,947,0.484688,0.452984,0.080706,0.199932,0.280637,stable (+0.000)
Karma,UTILITY,980,0.474490,0.443386,0.083518,0.351457,0.434975,hausse (+0.020)
Blitzcrank,UTILITY,72,0.555556,0.440872,0.006136,0.008181,0.014317,stable (+0.000)
Lulu,UTILITY,962,0.469854,0.438498,0.081984,0.115732,0.197716,stable (+0.000)
Morgana,UTILITY,6,0.833333,0.436491,0.000511,0.001534,0.002045,stable (+0.000)
Leona,UTILITY,509,0.479371,0.436288,0.043378,0.045168,0.088546,hausse (+0.078)
Rell,UTILITY,657,0.473364,0.435450,0.055991,0.046191,0.102182,hausse (+0.023)
Pyke,UTILITY,164,0.506098,0.430319,0.013976,0.049259,0.063235,stable (+0.000)
Poppy,UTILITY,134,0.500000,0.416529,0.011420,0.101074,0.112494,stable (+0.000)
Soraka,UTILITY,32,0.562500,0.393253,0.002727,0.000511,0.003238,stable (+0.000)
Braum,UTILITY,322,0.440994,0.387774,0.027442,0.060849,0.088290,hausse (+0.020)
Thresh,UTILITY,138,0.456522,0.375717,0.011761,0.008522,0.020283,stable (+0.000)
Shen,UTILITY,65,0.492308,0.374636,0.005539,0.020965,0.026504,stable (+0.001)
Elise,UTILITY,50,0.500000,0.366443,0.004261,0.007670,0.011931,stable (+0.000)
Renata Glasc,UTILITY,128,0.437500,0.354622,0.010908,0.006136,0.017044,stable (+0.001)
Annie,UTILITY,2,1.000000,0.342372,0.000170,0.075166,0.075337,stable (+0.000)
Amumu,UTILITY,12,0.583333,0.319507,0.001023,0.000852,0.001875,stable (+0.000)
