champion_1,champion_2,games,winrate
Leona,Vi,41,0.5366
Bard,Lee Sin,40,0.65
Karma,Skarner,37,0.5676
Lee Sin,Rell,37,0.5946
Aatrox,Nautilus,36,0.6389
Lee Sin,Lulu,36,0.5833
Milio,Pantheon,36,0.6667
Lee Sin,Milio,35,0.5429
Seraphine,Skarner,35,0.4857
Dr. Mundo,Lulu,34,0.4706
Karma,Zaahen,34,0.4118
Leona,Pantheon,34,0.2941
Bard,Trundle,33,0.6061
Dr. Mundo,Seraphine,33,0.6061
Milio,Skarner,33,0.5758
Dr. Mundo,Neeko,32,0.4062
Karma,Lee Sin,32,0.5
Leona,Nocturne,32,0.5
Milio,Naafiri,32,0.4062
Aatrox,Seraphine,31,0.5161
Dr. Mundo,Nautilus,31,0.5484
Karma,Trundle,31,0.3871
Ambessa,Nautilus,30,0.4
Lee Sin,Leona,30,0.6333
Lee Sin,Seraphine,30,0.4
Milio,Nocturne,30,0.4
Nami,Skarner,30,0.6333
Aatrox,Karma,29,0.5862
Bard,Dr. Mundo,29,0.6207
Naafiri,Rakan,29,0.5517
Aatrox,Lulu,28,0.4643
Alistar,Jayce,28,0.5714
Lulu,Naafiri,28,0.4286
Seraphine,Zaahen,28,0.5
Jayce,Nautilus,27,0.4074
Lulu,Trundle,27,0.3704
Naafiri,Seraphine,27,0.5185
Lee Sin,Nami,26,0.6538
Lee Sin,Rakan,26,0.5769
Leona,Naafiri,26,0.4615
Nautilus,Trundle,26,0.6538
Nautilus,Zaahen,26,0.5385
Seraphine,Trundle,26,0.6154
Aatrox,Neeko,25,0.36
Ambessa,Bard,25,0.32
Milio,Trundle,25,0.44
Aatrox,Alistar,23,0.6087
Alistar,Naafiri,23,0.5652
Ambessa,Neeko,23,0.5652
Braum,Pantheon,23,0.4348
Nautilus,Skarner,23,0.4348
Alistar,Qiyana,22,0.5909
Dr. Mundo,Rell,22,0.4545
Aatrox,Nami,21,0.7143
Ambessa,Leona,21,0.3333
Naafiri,Rell,21,0.619
Nami,Zaahen,21,0.5714
Aatrox,Rakan,20,0.55
Alistar,Dr. Mundo,20,0.75
Ambessa,Seraphine,20,0.5
Braum,Vi,20,0.45
Jarvan IV,Pyke,20,0.6
Jarvan IV,Thresh,20,0.45
Lulu,Zaahen,20,0.55
Naafiri,Nami,20,0.55
Nautilus,Sejuani,20,0.5
Camille,Lee Sin,19,0.4211
Dr. Mundo,Rakan,19,0.5263
Nami,Trundle,19,0.5263
Pantheon,Pyke,19,0.4211
Alistar,Zaahen,18,0.6111
Ambessa,Rakan,18,0.6111
Camille,Naafiri,18,0.6111
Neeko,Trundle,18,0.4444
Alistar,Ambessa,17,0.5882
Bard,Jayce,17,0.5882
Bard,Qiyana,17,0.5294
Camille,Vi,17,0.5294
Jarvan IV,Poppy,17,0.5294
Leona,Qiyana,17,0.6471
Rell,Trundle,17,0.4118
Renata Glasc,Xin Zhao,17,0.5882
Alistar,Lee Sin,16,0.5625
Ambessa,Karma,16,0.4375
Leona,Zaahen,16,0.4375
Neeko,Zaahen,16,0.375
Poppy,Xin Zhao,16,0.5625
Rell,Skarner,16,0.5625
