champion_1,champion_2,games,winrate
Hecarim,Nautilus,1,1.0
Hecarim,Senna,1,0.0
Hecarim,Seraphine,1,0.0
Hecarim,Tahm Kench,1,1.0
Hecarim,Thresh,1,1.0
Heimerdinger,Wukong,1,0.0
Hwei,Xin Zhao,1,0.0
Ivern,Neeko,1,1.0
Ivern,Rakan,1,0.0
Janna,Jarvan IV,1,1.0
Janna,Maokai,1,1.0
Janna,Nidalee,1,1.0
Janna,Wukong,1,1.0
Jarvan IV,Maokai,1,1.0
Jarvan IV,Morgana,1,1.0
Jarvan IV,Pantheon,1,0.0
Jarvan IV,Rumble,1,0.0
Jarvan IV,Sett,1,0.0
Jarvan IV,Shaco,1,1.0
Jarvan IV,Sylas,1,0.0
Jax,Neeko,1,1.0
Jax,Poppy,1,1.0
Jax,Renata Glasc,1,0.0
Jax,Shen,1,0.0
Jax,Vi,1,0.0
Jayce,Skarner,1,0.0
Jayce,Tahm Kench,1,0.0
Jayce,Yuumi,1,0.0
Jayce,Zyra,1,0.0
K'Sante,Lee Sin,1,1.0
Karma,Kayn,1,0.0
Karma,Nautilus,1,0.0
Karma,Ornn,1,1.0
